dataset,drift_id,pattern_code,gates_firing,gate_count,ambiguous,cascade_label,cascade_correct,primitive_labels
ostovar,ostovar:cm:0,cm,BRANCH|SKIP,2,True,BRANCH,True,
ostovar,ostovar:cm:1,cm,BRANCH,1,False,BRANCH,True,
ostovar,ostovar:cm:2,cm,REORDER,1,False,REORDER,True,
ostovar,ostovar:cm:3,cm,REORDER,1,False,REORDER,True,
ostovar,ostovar:cre:0,cre,OCC|SKIP,2,True,INSERTION,False,NEW
ostovar,ostovar:cre:1,cre,OCC,1,False,REMOVAL,True,GONE
ostovar,ostovar:cre:2,cre,OCC|SKIP,2,True,INSERTION,False,NEW
ostovar,ostovar:cre:3,cre,OCC|BRANCH|SKIP,3,True,REMOVAL,True,GONE
ostovar,ostovar:cre:4,cre,OCC|SKIP|REORDER,3,True,INSERTION,False,NEW
ostovar,ostovar:cf:0,cf,BRANCH,1,False,BRANCH,True,
ostovar,ostovar:cf:1,cf,BRANCH|SKIP,2,True,BRANCH,True,
ostovar,ostovar:cf:2,cf,BRANCH|SKIP,2,True,BRANCH,True,
ostovar,ostovar:cf:3,cf,BRANCH|SKIP,2,True,BRANCH,True,
ostovar,ostovar:cf:4,cf,BRANCH|SKIP,2,True,BRANCH,True,
ostovar,ostovar:cf:5,cf,BRANCH|SKIP,2,True,BRANCH,True,
ostovar,ostovar:fr:0,fr,SKIP|FREQUENCY,2,True,SKIP,False,
ostovar,ostovar:fr:1,fr,SKIP|FREQUENCY,2,True,SKIP,False,
ostovar,ostovar:fr:2,fr,SKIP|REORDER|FREQUENCY,3,True,SKIP,False,
ostovar,ostovar:fr:3,fr,OCC|BRANCH|SKIP,3,True,INSERTION,False,NEW
ostovar,ostovar:fr:4,fr,SKIP|REORDER,2,True,SKIP,False,
ostovar,ostovar:fr:5,fr,BRANCH|SKIP,2,True,BRANCH,False,
ostovar,ostovar:lp:0,lp,OCC,1,False,LOOP,True,LOOP
ostovar,ostovar:lp:1,lp,,0,False,OTHER,False,
ostovar,ostovar:lp:2,lp,OCC,1,False,LOOP,True,LOOP
ostovar,ostovar:lp:3,lp,,0,False,OTHER,False,
ostovar,ostovar:lp:4,lp,OCC,1,False,LOOP,True,LOOP
ostovar,ostovar:lp:5,lp,,0,False,OTHER,False,
ostovar,ostovar:pm:0,pm,REORDER,1,False,REORDER,True,
ostovar,ostovar:pm:1,pm,REORDER,1,False,REORDER,True,
ostovar,ostovar:pm:2,pm,REORDER,1,False,REORDER,True,
ostovar,ostovar:pm:3,pm,REORDER,1,False,REORDER,True,
ostovar,ostovar:pm:4,pm,REORDER,1,False,REORDER,True,
ostovar,ostovar:pm:5,pm,REORDER,1,False,REORDER,True,
ostovar,ostovar:pre:0,pre,OCC,1,False,INSERTION,False,NEW
ostovar,ostovar:pre:1,pre,OCC,1,False,REMOVAL,True,GONE
ostovar,ostovar:pre:2,pre,OCC,1,False,INSERTION,False,NEW
ostovar,ostovar:pre:3,pre,OCC|BRANCH,2,True,REMOVAL,True,GONE
ostovar,ostovar:pre:4,pre,OCC,1,False,INSERTION,False,NEW
ostovar,ostovar:pre:5,pre,OCC|BRANCH,2,True,REMOVAL,True,GONE
ostovar,ostovar:pl:0,pl,REORDER,1,False,REORDER,False,
ostovar,ostovar:pl:1,pl,REORDER,1,False,REORDER,False,
ostovar,ostovar:pl:2,pl,SKIP|REORDER,2,True,SKIP,False,
ostovar,ostovar:pl:3,pl,REORDER,1,False,REORDER,False,
ostovar,ostovar:pl:4,pl,BRANCH|SKIP,2,True,BRANCH,False,
ostovar,ostovar:pl:5,pl,BRANCH,1,False,BRANCH,False,
ostovar,ostovar:sm:0,sm,REORDER,1,False,REORDER,True,
ostovar,ostovar:sm:1,sm,REORDER,1,False,REORDER,True,
ostovar,ostovar:sm:2,sm,SKIP|REORDER,2,True,SKIP,False,
ostovar,ostovar:sm:3,sm,REORDER,1,False,REORDER,True,
ostovar,ostovar:sm:4,sm,REORDER,1,False,REORDER,True,
