pattern_code,ostovar_label_distribution,ceravolo_label_distribution,consistent
cb,SKIP:4|OTHER:2,SKIP:5,True
cf,BRANCH:6,BRANCH:5,True
ior,INSERTION:3|REMOVAL:3,INSERTION:5,True
iro,SUBSTITUTION:2|COMPOSITE:1,COMPOSITE:5,False
lp,LOOP:3|OTHER:3,LOOP:5,True
oir,INSERTION:3|REMOVAL:3,COMPOSITE:5,False
pm,REORDER:6,REORDER:3|SKIP:2,True
re,REMOVAL:3|INSERTION:3,LOOP:3|SKIP:2,False
rio,LOOP:3|BRANCH:2|DUPLICATION:1,DUPLICATION:5,False
roi,REMOVAL:3|INSERTION:3,INSERTION:5,False
rp,SUBSTITUTION:6,INSERTION:5,False
sw,REORDER:4|SKIP:2,REORDER:5,True
