dataset,drift_id,pattern_code,predicted_label,valid_labels,ambiguous,category
ostovar,ostovar:cm:0,cm,BRANCH,BRANCH|REORDER,True,correct_resolved
ostovar,ostovar:cm:1,cm,BRANCH,BRANCH|REORDER,True,correct_resolved
ostovar,ostovar:cm:2,cm,REORDER,BRANCH|REORDER,True,correct_resolved
ostovar,ostovar:cm:3,cm,REORDER,BRANCH|REORDER,True,correct_resolved
ostovar,ostovar:cre:0,cre,INSERTION,REMOVAL,False,incorrect
ostovar,ostovar:cre:1,cre,REMOVAL,REMOVAL,False,correct_unambiguous
ostovar,ostovar:cre:2,cre,INSERTION,REMOVAL,False,incorrect
ostovar,ostovar:cre:3,cre,REMOVAL,REMOVAL,False,correct_unambiguous
ostovar,ostovar:cre:4,cre,INSERTION,REMOVAL,False,incorrect
ostovar,ostovar:cf:0,cf,BRANCH,BRANCH,False,correct_unambiguous
ostovar,ostovar:cf:1,cf,BRANCH,BRANCH,False,correct_unambiguous
ostovar,ostovar:cf:2,cf,BRANCH,BRANCH,False,correct_unambiguous
ostovar,ostovar:cf:3,cf,BRANCH,BRANCH,False,correct_unambiguous
ostovar,ostovar:cf:4,cf,BRANCH,BRANCH,False,correct_unambiguous
ostovar,ostovar:cf:5,cf,BRANCH,BRANCH,False,correct_unambiguous
ostovar,ostovar:fr:0,fr,SKIP,FREQUENCY,False,incorrect
ostovar,ostovar:fr:1,fr,SKIP,FREQUENCY,False,incorrect
ostovar,ostovar:fr:2,fr,SKIP,FREQUENCY,False,incorrect
ostovar,ostovar:fr:3,fr,INSERTION,FREQUENCY,False,incorrect
ostovar,ostovar:fr:4,fr,SKIP,FREQUENCY,False,incorrect
ostovar,ostovar:fr:5,fr,BRANCH,FREQUENCY,False,incorrect
ostovar,ostovar:lp:0,lp,LOOP,LOOP,False,correct_unambiguous
ostovar,ostovar:lp:1,lp,OTHER,LOOP,False,incorrect
ostovar,ostovar:lp:2,lp,LOOP,LOOP,False,correct_unambiguous
ostovar,ostovar:lp:3,lp,OTHER,LOOP,False,incorrect
ostovar,ostovar:lp:4,lp,LOOP,LOOP,False,correct_unambiguous
ostovar,ostovar:lp:5,lp,OTHER,LOOP,False,incorrect
ostovar,ostovar:pm:0,pm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:pm:1,pm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:pm:2,pm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:pm:3,pm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:pm:4,pm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:pm:5,pm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:pre:0,pre,INSERTION,REMOVAL,False,incorrect
ostovar,ostovar:pre:1,pre,REMOVAL,REMOVAL,False,correct_unambiguous
ostovar,ostovar:pre:2,pre,INSERTION,REMOVAL,False,incorrect
ostovar,ostovar:pre:3,pre,REMOVAL,REMOVAL,False,correct_unambiguous
ostovar,ostovar:pre:4,pre,INSERTION,REMOVAL,False,incorrect
ostovar,ostovar:pre:5,pre,REMOVAL,REMOVAL,False,correct_unambiguous
ostovar,ostovar:pl:0,pl,REORDER,,False,incorrect
ostovar,ostovar:pl:1,pl,REORDER,,False,incorrect
ostovar,ostovar:pl:2,pl,SKIP,,False,incorrect
ostovar,ostovar:pl:3,pl,REORDER,,False,incorrect
ostovar,ostovar:pl:4,pl,BRANCH,,False,incorrect
ostovar,ostovar:pl:5,pl,BRANCH,,False,incorrect
ostovar,ostovar:sm:0,sm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sm:1,sm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sm:2,sm,SKIP,REORDER,False,incorrect
ostovar,ostovar:sm:3,sm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:sm:4,sm,REORDER,REORDER,False,correct_unambiguous
ostovar,ostovar:re:0,re,REMOVAL,INSERTION|REMOVAL,True,correct_resolved
ostovar,ostovar:re:1,re,INSERTION,INSERTION|REMOVAL,True,correct_resolved
ostovar,ostovar:re:2,re,REMOVAL,INSERTION|REMOVAL,True,correct_resolved
ostovar,ostovar:re:3,re,INSERTION,INSERTION|REMOVAL,True,correct_resolved
ostovar,ostovar:re:4,re,REMOVAL,INSERTION|REMOVAL,True,correct_resolved
ostovar,ostovar:re:5,re,INSERTION,INSERTION|REMOVAL,True,correct_resolved
ostovar,ostovar:cb:0,cb,SKIP,SKIP,False,correct_unambiguous
ostovar,ostovar:cb:1,cb,OTHER,SKIP,False,incorrect
ostovar,ostovar:cb:2,cb,SKIP,SKIP,False,correct_unambiguous
ostovar,ostovar:cb:3,cb,OTHER,SKIP,False,incorrect
ostovar,ostovar:cb:4,cb,SKIP,SKIP,False,correct_unambiguous
ostovar,ostovar:cb:5,cb,SKIP,SKIP,False,correct_unambiguous
ostovar,ostovar:rp:0,rp,SUBSTITUTION,SUBSTITUTION,False,correct_unambiguous
ostovar,ostovar:rp:1,rp,SUBSTITUTION,SUBSTITUTION,False,correct_unambiguous
ostovar,ostovar:rp:2,rp,SUBSTITUTION,SUBSTITUTION,False,correct_unambiguous
ostovar,ostovar:rp:3,rp,SUBSTITUTION,SUBSTITUTION,False,correct_unambiguous
ostovar,ostovar:rp:4,rp,SUBSTITUTION,SUBSTITUTION,False,correct_unambiguous
ostovar,ostovar:rp:5,rp,SUBSTITUTION,SUBSTITUTION,False,correct_unambiguous
