sweep,value,dataset,n_logs,min_int_frac,span,batch_size,report,confidence,is_anchor,mean_f1,mean_lag,P,R,logs_with_tp,mean_detections,n_boundaries
xi,0.0,Bose,1,0.0,1,100,end,0.999,0,0.615385,100.0,0.444444,1.0,1,9.0,59
xi,0.0,Ceravolo,75,0.0,1,100,end,0.999,0,0.911111,5.7,0.933333,0.933333,70,1.0,9
xi,0.0,Ostovar,75,0.0,1,100,end,0.999,0,0.504537,18.0,0.3125,1.0,75,6.4,29
xi,0.005,Bose,1,0.005,1,100,end,0.999,0,0.666667,100.0,0.5,1.0,1,8.0,59
xi,0.005,Ceravolo,75,0.005,1,100,end,0.999,0,0.911111,5.7,0.933333,0.933333,70,1.0,9
xi,0.005,Ostovar,75,0.005,1,100,end,0.999,0,0.834751,19.3,0.663717,1.0,75,3.01,29
xi,0.01,Bose,1,0.01,1,100,end,0.999,1,0.8,100.0,0.666667,1.0,1,6.0,59
xi,0.01,Ceravolo,75,0.01,1,100,end,0.999,1,0.911111,5.7,0.933333,0.933333,70,1.0,9
xi,0.01,Ostovar,75,0.01,1,100,end,0.999,1,0.921524,20.7,0.831461,0.986667,75,2.37,29
xi,0.02,Bose,1,0.02,1,100,end,0.999,0,0.888889,100.0,0.8,1.0,1,5.0,59
xi,0.02,Ceravolo,75,0.02,1,100,end,0.999,0,0.911111,5.7,0.933333,0.933333,70,1.0,9
xi,0.02,Ostovar,75,0.02,1,100,end,0.999,0,0.861841,14.7,0.923077,0.88,68,1.91,29
xi,0.03,Bose,1,0.03,1,100,end,0.999,0,1.0,100.0,1.0,1.0,1,4.0,59
xi,0.03,Ceravolo,75,0.03,1,100,end,0.999,0,0.844444,6.2,0.928571,0.866667,65,0.93,9
xi,0.03,Ostovar,75,0.03,1,100,end,0.999,0,0.778667,12.5,0.95935,0.786667,60,1.64,29
xi,0.05,Bose,1,0.05,1,100,end,0.999,0,1.0,100.0,1.0,1.0,1,4.0,59
xi,0.05,Ceravolo,75,0.05,1,100,end,0.999,0,0.822222,4.8,0.940299,0.84,63,0.89,9
xi,0.05,Ostovar,75,0.05,1,100,end,0.999,0,0.64,12.0,0.979381,0.633333,50,1.29,29
xi,0.07,Bose,1,0.07,1,100,end,0.999,0,1.0,100.0,1.0,1.0,1,4.0,59
xi,0.07,Ceravolo,75,0.07,1,100,end,0.999,0,0.751111,5.3,0.966102,0.76,57,0.79,9
xi,0.07,Ostovar,75,0.07,1,100,end,0.999,0,0.52,7.5,1.0,0.513333,40,1.03,29
xi,0.1,Bose,1,0.1,1,100,end,0.999,0,1.0,100.0,1.0,1.0,1,4.0,59
xi,0.1,Ceravolo,75,0.1,1,100,end,0.999,0,0.662222,6.0,0.980392,0.666667,50,0.68,9
xi,0.1,Ostovar,75,0.1,1,100,end,0.999,0,0.333333,1.9,1.0,0.32,27,0.64,29
s,1,Bose,1,0.01,1,100,end,0.999,1,0.8,100.0,0.666667,1.0,1,6.0,59
s,1,Ceravolo,75,0.01,1,100,end,0.999,1,0.911111,5.7,0.933333,0.933333,70,1.0,9
s,1,Ostovar,75,0.01,1,100,end,0.999,1,0.921524,20.7,0.831461,0.986667,75,2.37,29
s,2,Bose,1,0.01,2,100,end,0.999,0,0.666667,0.0,0.5,1.0,1,8.0,57
s,2,Ceravolo,75,0.01,2,100,end,0.999,0,0.642222,92.9,0.514706,0.933333,70,1.81,7
s,2,Ostovar,75,0.01,2,100,end,0.999,0,0.624042,65.1,0.450311,0.966667,73,4.29,27
s,3,Bose,1,0.01,3,100,end,0.999,0,0.727273,125.0,0.571429,1.0,1,7.0,55
s,3,Ceravolo,75,0.01,3,100,end,0.999,0,0.604444,98.5,0.507576,0.893333,67,1.76,5
s,3,Ostovar,75,0.01,3,100,end,0.999,0,0.637545,71.9,0.474026,0.973333,73,4.11,25
s,4,Bose,1,0.01,4,100,end,0.999,0,0.666667,175.0,0.5,1.0,1,8.0,53
s,4,Ceravolo,75,0.01,4,100,end,0.999,0,0.866667,0.0,1.0,0.866667,65,0.87,3
s,4,Ostovar,75,0.01,4,100,end,0.999,0,0.657841,96.6,0.498294,0.973333,73,3.91,23
s,5,Bose,1,0.01,5,100,end,0.999,0,0.666667,200.0,0.5,1.0,1,8.0,51
s,5,Ceravolo,75,0.01,5,100,end,0.999,0,0.866667,100.0,1.0,0.866667,65,0.87,1
s,5,Ostovar,75,0.01,5,100,end,0.999,0,0.687556,102.1,0.541045,0.966667,73,3.57,21
B,25,Bose,1,0.01,1,25,end,0.999,0,0.571429,37.5,0.4,1.0,1,10.0,239
B,25,Ceravolo,75,0.01,1,25,end,0.999,0,0.755556,38.6,0.607143,0.906667,68,1.49,39
B,25,Ostovar,75,0.01,1,25,end,0.999,0,0.59668,38.0,0.41196,0.826667,69,4.01,119
B,50,Bose,1,0.01,1,50,end,0.999,0,0.727273,50.0,0.571429,1.0,1,7.0,119
B,50,Ceravolo,75,0.01,1,50,end,0.999,0,0.831111,3.0,0.846154,0.88,66,1.04,19
B,50,Ostovar,75,0.01,1,50,end,0.999,0,0.79757,16.1,0.641256,0.953333,73,2.97,59
B,100,Bose,1,0.01,1,100,end,0.999,1,0.8,100.0,0.666667,1.0,1,6.0,59
B,100,Ceravolo,75,0.01,1,100,end,0.999,1,0.911111,5.7,0.933333,0.933333,70,1.0,9
B,100,Ostovar,75,0.01,1,100,end,0.999,1,0.921524,20.7,0.831461,0.986667,75,2.37,29
B,150,Bose,1,0.01,1,150,end,0.999,0,0.888889,150.0,0.8,1.0,1,5.0,39
B,150,Ceravolo,75,0.01,1,150,end,0.999,0,0.902222,104.4,0.985507,0.906667,68,0.92,6
B,150,Ostovar,75,0.01,1,150,end,0.999,0,0.926222,78.1,0.917197,0.96,72,2.09,19
B,200,Bose,1,0.01,1,200,end,0.999,0,1.0,200.0,1.0,1.0,1,4.0,29
B,200,Ceravolo,75,0.01,1,200,end,0.999,0,0.8,100.0,0.857143,0.8,60,0.93,4
B,200,Ostovar,75,0.01,1,200,end,0.999,0,0.961333,162.7,0.948052,0.973333,75,2.05,14
B,300,Bose,1,0.01,1,300,end,0.999,0,0.0,,0.0,0.0,0,4.0,19
B,300,Ceravolo,75,0.01,1,300,end,0.999,0,0.493333,100.0,0.560606,0.493333,37,0.88,3
B,300,Ostovar,75,0.01,1,300,end,0.999,0,0.846667,163.0,0.892857,0.833333,73,1.87,9
report,start,Bose,1,0.01,1,100,start,0.999,0,0.8,1.0,0.666667,1.0,1,6.0,59
report,start,Ceravolo,75,0.01,1,100,start,0.999,0,0.911111,99.1,0.933333,0.933333,70,1.0,9
report,start,Ostovar,75,0.01,1,100,start,0.999,0,0.912635,87.8,0.825843,0.98,74,2.37,29
report,mid,Bose,1,0.01,1,100,mid,0.999,0,0.8,50.0,0.666667,1.0,1,6.0,59
report,mid,Ceravolo,75,0.01,1,100,mid,0.999,0,0.911111,54.3,0.933333,0.933333,70,1.0,9
report,mid,Ostovar,75,0.01,1,100,mid,0.999,0,0.912635,53.4,0.825843,0.98,74,2.37,29
report,end,Bose,1,0.01,1,100,end,0.999,1,0.8,100.0,0.666667,1.0,1,6.0,59
report,end,Ceravolo,75,0.01,1,100,end,0.999,1,0.911111,5.7,0.933333,0.933333,70,1.0,9
report,end,Ostovar,75,0.01,1,100,end,0.999,1,0.921524,20.7,0.831461,0.986667,75,2.37,29
report,adaptive,Bose,1,0.01,1,100,adaptive,0.999,0,0.8,1.0,0.666667,1.0,1,6.0,59
report,adaptive,Ceravolo,75,0.01,1,100,adaptive,0.999,0,0.911111,60.9,0.933333,0.933333,70,1.0,9
report,adaptive,Ostovar,75,0.01,1,100,adaptive,0.999,0,0.921524,78.1,0.831461,0.986667,75,2.37,29
report,refine,Bose,1,0.01,1,100,refine,0.999,0,0.8,20.5,0.666667,1.0,1,6.0,59
report,refine,Ceravolo,75,0.01,1,100,refine,0.999,0,0.888889,68.2,0.906667,0.906667,68,1.0,9
report,refine,Ostovar,75,0.01,1,100,refine,0.999,0,0.912635,65.8,0.825843,0.98,74,2.37,29
