sweep,value,cfg_key,dataset,log,f1,lag,n_detections,n_boundaries
,,B100_s1_xi0.0_end_K0.999,Bose,bose_log.xes.gz,0.615385,100.0,9,59
,,B100_s1_xi0.005_end_K0.999,Bose,bose_log.xes.gz,0.666667,100.0,8,59
,,B100_s1_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.8,100.0,6,59
,,B100_s1_xi0.02_end_K0.999,Bose,bose_log.xes.gz,0.888889,100.0,5,59
,,B100_s1_xi0.03_end_K0.999,Bose,bose_log.xes.gz,1.0,100.0,4,59
,,B100_s1_xi0.05_end_K0.999,Bose,bose_log.xes.gz,1.0,100.0,4,59
,,B100_s1_xi0.07_end_K0.999,Bose,bose_log.xes.gz,1.0,100.0,4,59
,,B100_s1_xi0.1_end_K0.999,Bose,bose_log.xes.gz,1.0,100.0,4,59
,,B100_s1_xi0.01_start_K0.999,Bose,bose_log.xes.gz,0.8,1.0,6,59
,,B100_s1_xi0.01_mid_K0.999,Bose,bose_log.xes.gz,0.8,50.0,6,59
,,B100_s1_xi0.01_adaptive_K0.999,Bose,bose_log.xes.gz,0.8,1.0,6,59
,,B100_s1_xi0.01_refine_K0.999,Bose,bose_log.xes.gz,0.8,20.5,6,59
,,B100_s2_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.666667,0.0,8,57
,,B100_s3_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.727273,125.0,7,55
,,B100_s4_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.666667,175.0,8,53
,,B100_s5_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.666667,200.0,8,51
,,B25_s1_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.571429,37.5,10,239
,,B50_s1_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.727273,50.0,7,119
,,B150_s1_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.888889,150.0,5,39
,,B200_s1_xi0.01_end_K0.999,Bose,bose_log.xes.gz,1.0,200.0,4,29
,,B300_s1_xi0.01_end_K0.999,Bose,bose_log.xes.gz,0.0,,4,19
,,B100_s1_xi0.0_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.005_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.02_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.03_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.05_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.07_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.1_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_start_K0.999,Ceravolo,sudden_trace_noise0_1000_IOR.xes.gz,1.0,99.0,1,9
