dataset,log_name,n_cases,n_activities,n_relations,n_batches,t_batch_ms,t_detect_ms,t_cluster_ms,t_confirm_ms,t_signature_ms,t_label_ms,t_total_ms
Bose,bose_log,6000,15,547,60,758.826,39.467,0.131,0.131,15.268,0.511,814.202
Ceravolo,sudden_trace_noise0_1000_IOR,1000,16,536,10,103.42,3.808,0.085,0.085,2.118,0.082,109.513
Ceravolo,sudden_trace_noise0_1000_IRO,1000,16,588,10,106.555,4.389,0.101,0.101,2.387,0.123,113.555
Ceravolo,sudden_trace_noise0_1000_OIR,1000,16,618,10,110.139,4.139,0.091,0.091,2.439,0.102,116.91
Ceravolo,sudden_trace_noise0_1000_RIO,1000,15,482,10,97.351,3.53,0.069,0.069,1.817,0.036,102.803
Ceravolo,sudden_trace_noise0_1000_ROI,1000,16,539,10,95.958,3.763,0.083,0.083,2.249,0.112,102.165
Ceravolo,sudden_trace_noise0_1000_cb,1000,15,476,10,90.105,3.432,0.071,0.071,1.912,0.062,95.582
Ceravolo,sudden_trace_noise0_1000_cd,1000,15,482,10,95.136,3.343,0.067,0.067,1.804,0.033,100.383
Ceravolo,sudden_trace_noise0_1000_cf,1000,15,484,10,98.786,3.356,0.068,0.068,1.933,0.047,104.189
Ceravolo,sudden_trace_noise0_1000_cp,1000,15,497,10,98.472,3.972,0.085,0.085,2.023,0.084,104.636
Ceravolo,sudden_trace_noise0_1000_lp,1000,15,521,10,98.052,3.691,0.09,0.09,2.016,0.065,103.915
Ceravolo,sudden_trace_noise0_1000_pl,1000,15,485,10,95.621,3.45,0.066,0.066,0.0,0.0,99.137
Ceravolo,sudden_trace_noise0_1000_pm,1000,15,478,10,94.49,3.454,0.073,0.073,3.529,0.063,101.608
Ceravolo,sudden_trace_noise0_1000_re,1000,15,473,10,91.507,3.497,0.078,0.078,1.849,0.069,96.999
Ceravolo,sudden_trace_noise0_1000_rp,1000,16,542,10,97.663,4.506,0.088,0.088,2.315,0.092,104.664
Ceravolo,sudden_trace_noise0_1000_sw,1000,15,494,10,95.667,4.378,0.085,0.085,2.036,0.044,102.21
Ceravolo,sudden_trace_noise10_1000_IOR,1000,16,536,10,99.263,3.844,0.085,0.085,2.186,0.079,105.457
Ceravolo,sudden_trace_noise10_1000_IRO,1000,16,579,10,101.664,4.346,0.091,0.091,2.386,0.11,108.596
Ceravolo,sudden_trace_noise10_1000_OIR,1000,16,618,10,108.36,4.366,0.099,0.099,2.501,0.112,115.438
Ceravolo,sudden_trace_noise10_1000_RIO,1000,15,482,10,95.475,3.656,0.071,0.071,1.903,0.036,101.14
Ceravolo,sudden_trace_noise10_1000_ROI,1000,16,533,10,92.813,3.868,0.085,0.085,2.211,0.117,99.094
Ceravolo,sudden_trace_noise10_1000_cb,1000,15,476,10,87.515,3.53,0.07,0.07,1.926,0.06,93.102
Ceravolo,sudden_trace_noise10_1000_cd,1000,15,482,10,91.284,3.444,0.059,0.059,1.852,0.031,96.67
Ceravolo,sudden_trace_noise10_1000_cf,1000,15,484,10,93.731,3.445,0.069,0.069,1.945,0.046,99.235
Ceravolo,sudden_trace_noise10_1000_cp,1000,15,494,10,94.324,3.936,0.087,0.087,2.014,0.087,100.447
Ceravolo,sudden_trace_noise10_1000_lp,1000,15,521,10,95.237,3.704,0.081,0.081,2.008,0.073,101.102
Ceravolo,sudden_trace_noise10_1000_pl,1000,15,485,10,91.188,3.57,0.069,0.069,0.0,0.0,94.826
Ceravolo,sudden_trace_noise10_1000_pm,1000,15,475,10,90.469,3.427,0.068,0.068,3.489,0.061,97.513
Ceravolo,sudden_trace_noise10_1000_re,1000,15,473,10,87.492,3.247,0.071,0.071,1.812,0.073,92.695
Ceravolo,sudden_trace_noise10_1000_rp,1000,16,542,10,98.154,3.932,0.087,0.087,2.202,0.086,104.46
Ceravolo,sudden_trace_noise10_1000_sw,1000,15,494,10,94.004,3.864,0.086,0.086,1.98,0.05,99.984
Ceravolo,sudden_trace_noise15_1000_IOR,1000,16,536,10,96.655,3.884,0.084,0.084,2.211,0.078,102.912
Ceravolo,sudden_trace_noise15_1000_IRO,1000,16,588,10,99.77,4.518,0.093,0.093,2.378,0.108,106.868
Ceravolo,sudden_trace_noise15_1000_OIR,1000,16,618,10,103.387,4.219,0.092,0.092,2.494,0.105,110.297
Ceravolo,sudden_trace_noise15_1000_RIO,1000,15,482,10,90.95,3.592,0.069,0.069,1.894,0.034,96.54
Ceravolo,sudden_trace_noise15_1000_ROI,1000,16,539,10,90.097,3.801,0.084,0.084,2.255,0.113,96.35
Ceravolo,sudden_trace_noise15_1000_cb,1000,15,476,10,85.654,3.44,0.069,0.069,1.93,0.06,91.153
Ceravolo,sudden_trace_noise15_1000_cd,1000,15,482,10,89.616,3.359,0.067,0.067,1.805,0.027,94.873
Ceravolo,sudden_trace_noise15_1000_cf,1000,15,484,10,92.228,3.418,0.067,0.067,1.942,0.046,97.701
Ceravolo,sudden_trace_noise15_1000_cp,1000,15,497,10,92.46,3.961,0.086,0.086,2.008,0.084,98.599
Ceravolo,sudden_trace_noise15_1000_lp,1000,15,521,10,93.243,3.704,0.079,0.079,2.018,0.066,99.11
Ceravolo,sudden_trace_noise15_1000_pl,1000,15,485,10,89.506,3.53,0.067,0.067,0.0,0.0,93.103
Ceravolo,sudden_trace_noise15_1000_pm,1000,15,478,10,87.994,4.059,0.066,0.066,2.055,0.052,94.226
Ceravolo,sudden_trace_noise15_1000_re,1000,15,473,10,84.731,3.561,0.072,0.072,1.916,0.044,90.324
Ceravolo,sudden_trace_noise15_1000_rp,1000,16,542,10,95.167,3.993,0.082,0.082,2.258,0.099,101.599
Ceravolo,sudden_trace_noise15_1000_sw,1000,15,494,10,91.531,3.833,0.087,0.087,1.994,0.046,97.491
Ceravolo,sudden_trace_noise20_1000_IOR,1000,16,536,10,94.307,3.816,0.085,0.085,2.197,0.078,100.481
Ceravolo,sudden_trace_noise20_1000_IRO,1000,16,588,10,96.856,4.371,0.091,0.091,4.469,0.127,105.913
Ceravolo,sudden_trace_noise20_1000_OIR,1000,16,618,10,99.133,3.64,0.109,0.109,2.308,0.106,105.296
Ceravolo,sudden_trace_noise20_1000_RIO,1000,15,482,10,88.463,3.565,0.071,0.071,1.865,0.041,94.005
Ceravolo,sudden_trace_noise20_1000_ROI,1000,16,539,10,86.815,3.806,0.084,0.084,2.216,0.117,93.039
Ceravolo,sudden_trace_noise20_1000_cb,1000,15,476,10,82.984,3.5,0.071,0.071,1.927,0.062,88.543
Ceravolo,sudden_trace_noise20_1000_cd,1000,15,482,10,86.919,3.365,0.067,0.067,1.802,0.02,92.173
Ceravolo,sudden_trace_noise20_1000_cf,1000,15,484,10,89.099,3.401,0.069,0.069,1.926,0.044,94.539
Ceravolo,sudden_trace_noise20_1000_cp,1000,15,494,10,89.027,3.956,0.085,0.085,1.99,0.129,95.187
Ceravolo,sudden_trace_noise20_1000_lp,1000,15,521,10,89.865,3.662,0.082,0.082,2.022,0.066,95.697
Ceravolo,sudden_trace_noise20_1000_pl,1000,15,485,10,86.868,3.477,0.062,0.062,0.0,0.0,90.407
Ceravolo,sudden_trace_noise20_1000_pm,1000,15,478,10,52.067,2.104,0.044,0.044,1.135,0.037,55.388
Ceravolo,sudden_trace_noise20_1000_re,1000,15,473,10,50.596,2.067,0.044,0.044,1.103,0.035,53.845
Ceravolo,sudden_trace_noise20_1000_rp,1000,16,542,10,55.462,2.469,0.058,0.058,1.344,0.061,59.393
Ceravolo,sudden_trace_noise20_1000_sw,1000,15,494,10,52.913,2.214,0.054,0.054,1.167,0.032,56.381
Ceravolo,sudden_trace_noise5_1000_IOR,1000,16,536,10,60.606,2.311,0.055,0.055,1.29,0.054,64.316
Ceravolo,sudden_trace_noise5_1000_IRO,1000,16,588,10,61.394,2.552,0.058,0.058,2.626,0.08,66.71
Ceravolo,sudden_trace_noise5_1000_OIR,1000,16,618,10,65.105,2.575,0.061,0.061,1.462,0.072,69.276
Ceravolo,sudden_trace_noise5_1000_RIO,1000,15,482,10,59.99,2.1,0.043,0.043,1.102,0.029,63.265
Ceravolo,sudden_trace_noise5_1000_ROI,1000,16,539,10,57.086,2.279,0.057,0.057,1.339,0.081,60.842
Ceravolo,sudden_trace_noise5_1000_cb,1000,15,476,10,54.693,2.078,0.045,0.045,1.156,0.044,58.017
Ceravolo,sudden_trace_noise5_1000_cd,1000,15,482,10,56.396,2.011,0.049,0.049,1.077,0.022,59.555
Ceravolo,sudden_trace_noise5_1000_cf,1000,15,484,10,58.788,2.019,0.05,0.05,1.154,0.04,62.05
Ceravolo,sudden_trace_noise5_1000_cp,1000,15,497,10,57.979,2.344,0.057,0.057,1.215,0.06,61.655
Ceravolo,sudden_trace_noise5_1000_lp,1000,15,521,10,58.336,2.176,0.05,0.05,1.24,0.046,61.846
Ceravolo,sudden_trace_noise5_1000_pl,1000,15,485,10,57.99,2.074,0.043,0.043,0.0,0.0,60.107
Ceravolo,sudden_trace_noise5_1000_pm,1000,15,478,10,55.459,2.039,0.045,0.045,2.12,0.047,59.71
Ceravolo,sudden_trace_noise5_1000_re,1000,15,473,10,54.075,2.078,0.044,0.044,1.112,0.049,57.359
Ceravolo,sudden_trace_noise5_1000_rp,1000,16,542,10,58.758,2.267,0.053,0.053,1.325,0.072,62.475
Ceravolo,sudden_trace_noise5_1000_sw,1000,15,494,10,61.651,2.219,0.058,0.058,1.194,0.033,65.155
Ostovar,Atomic_ConditionalMove_output_ConditionalMove,2999,47,4552,30,2174.601,64.476,0.494,0.494,37.126,0.508,2277.205
Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,2999,52,8185,30,2226.755,213.046,1.096,1.096,51.166,0.565,2492.628
Ostovar,Atomic_ConditionalMove_output_ConditionalMove_5,2999,52,8610,30,2361.463,407.726,1.574,1.574,83.765,0.795,2855.323
Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,2999,43,3801,30,2424.052,86.632,0.553,0.553,62.309,0.642,2574.187
Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,2999,48,6988,30,2807.305,320.648,1.412,1.412,66.722,0.738,3196.825
Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,2999,48,7338,30,2088.852,215.877,1.068,1.068,46.201,1.095,2353.092
Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,2999,44,4006,30,2549.319,93.654,0.74,0.74,35.536,0.731,2679.981
Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,2999,49,7374,30,2030.522,206.028,1.077,1.077,45.541,0.667,2283.835
Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,2999,49,7721,30,2055.94,241.791,1.106,1.106,71.917,0.817,2371.573
Ostovar,Atomic_Frequency_output_Frequency,2999,31,2018,30,831.501,28.34,0.24,0.24,26.61,0.531,887.222
Ostovar,Atomic_Frequency_output_Frequency_2,2999,36,4042,30,946.49,105.0,0.579,0.579,49.185,0.788,1102.042
Ostovar,Atomic_Frequency_output_Frequency_5,2999,36,4196,30,1010.209,112.496,0.567,0.567,45.302,0.647,1169.221
Ostovar,Atomic_Loop_output_Loop,2999,41,3520,30,1511.94,49.252,0.373,0.373,26.762,0.114,1588.441
Ostovar,Atomic_Loop_output_Loop_2,2999,46,6604,30,1682.454,212.182,1.333,1.333,29.523,0.04,1925.533
Ostovar,Atomic_Loop_output_Loop_5,2999,46,6921,30,1938.393,198.96,1.275,1.275,44.728,0.153,2183.509
Ostovar,Atomic_ParallelMove_output_ParallelMove,2999,47,4569,30,1993.738,66.586,0.614,0.614,37.706,0.229,2098.873
Ostovar,Atomic_ParallelMove_output_ParallelMove_2,2999,52,8207,30,2227.379,260.844,1.073,1.073,51.8,0.41,2541.506
Ostovar,Atomic_ParallelMove_output_ParallelMove_5,2999,52,8617,30,2337.765,271.59,1.147,1.147,56.23,0.256,2666.988
Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,2999,43,3799,30,1528.898,55.17,0.438,0.438,25.436,0.43,1610.372
Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_2,2999,48,6932,30,1722.147,183.747,1.018,1.018,45.606,0.511,1953.029
Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,2999,48,7329,30,1789.732,210.692,1.072,1.072,45.497,0.508,2047.501
Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence,2999,44,3995,30,1969.18,56.879,0.555,0.555,32.411,0.107,2059.132
Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,2999,49,7331,30,2171.155,216.408,1.063,1.063,20.915,0.102,2409.643
Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,2999,49,7658,30,2242.197,245.54,1.203,1.203,61.147,0.736,2550.822
Ostovar,Atomic_SerialMove_output_SerialMove,2999,46,4370,30,2625.423,68.237,0.584,0.584,35.98,0.172,2730.397
Ostovar,Atomic_SerialMove_output_SerialMove_2,2999,51,7941,30,2216.41,210.361,1.109,1.109,69.106,0.233,2497.22
Ostovar,Atomic_SerialMove_output_SerialMove_5,2999,51,8330,30,2277.988,230.979,1.14,1.14,80.072,0.491,2590.669
Ostovar,Atomic_SerialRemoval_output_SerialRemoval,2999,43,3788,30,1561.577,67.327,0.468,0.468,20.679,0.33,1650.381
Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,2999,48,6980,30,1761.445,188.192,1.019,1.019,41.407,0.378,1992.441
Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,2999,48,7313,30,1808.619,198.191,1.065,1.065,43.014,0.467,2051.355
Ostovar,Atomic_Skip_output_Skip,2999,43,3796,30,1724.922,54.889,0.432,0.432,20.871,0.251,1801.364
Ostovar,Atomic_Skip_output_Skip_2,2999,48,7085,30,1909.086,187.702,1.043,1.043,43.95,0.426,2142.205
Ostovar,Atomic_Skip_output_Skip_5,2999,48,7425,30,1931.492,219.534,1.08,1.08,44.455,0.691,2197.253
Ostovar,Atomic_Substitute_output_Substitute,2999,46,4337,30,1744.621,76.516,0.623,0.623,26.252,0.825,1848.838
Ostovar,Atomic_Substitute_output_Substitute_2,2999,51,7836,30,1930.185,213.859,1.101,1.101,48.213,1.134,2194.492
Ostovar,Atomic_Substitute_output_Substitute_5,2999,51,8236,30,1954.068,223.555,1.122,1.122,51.494,1.102,2231.34
Ostovar,Atomic_Swap_output_Swap,2999,42,3697,30,2690.22,73.314,0.446,0.446,28.912,0.351,2793.243
Ostovar,Atomic_Swap_output_Swap_2,2999,47,6816,30,3045.966,323.053,1.347,1.347,64.374,0.72,3435.461
Ostovar,Atomic_Swap_output_Swap_5,2999,47,7162,30,3146.554,340.128,1.463,1.463,70.657,1.109,3559.911
Ostovar,Composite_IOR_output_IOR,2999,40,3306,30,2536.803,78.734,0.518,0.518,31.136,1.091,2648.282
Ostovar,Composite_IOR_output_IOR_2,2999,45,6255,30,2850.743,300.861,1.19,1.19,62.807,1.601,3217.203
Ostovar,Composite_IOR_output_IOR_5,2999,45,6552,30,2708.085,179.418,0.965,0.965,40.792,1.392,2930.651
